,0
0,-7.4743824
1,-6.240213
2,-6.4008985
3,-6.353359
4,-0.32231212
5,-0.5951821
6,7.758458
7,-0.39341635
8,-2.0261514
9,-5.2356787
10,-6.4816704
11,-6.28964
12,-0.48096228
13,-2.2310774
14,-7.311611
15,-5.667078
16,-6.647607
17,-5.84136
18,-6.4162827
19,-6.859628
20,-6.1252403
21,-6.44342
22,-6.2291656
23,0.4026845
24,3.787881
25,2.443522
26,1.9260495
27,6.7202835
28,6.7147727
29,4.3952985
30,-3.6994524
31,-3.5576057
32,6.7288823
33,-7.3002973
34,-6.221775
35,-6.1454577
36,-0.43734902
37,-7.4792356
38,-4.4309974
39,-3.467944
40,-2.082325
41,-7.0967913
42,-4.0231586
43,-6.272859
44,-7.242758
45,-2.1575782
46,-3.3313167
47,-2.74447
48,-2.1900027
49,-0.07177313
50,-0.4162043
51,-4.0983505
52,-5.037169
53,-4.7524376
54,-1.091231
55,-6.558892
56,0.16550393
57,-1.9601393
58,8.65459
59,0.03608073
60,-2.9345725
61,-3.495407
62,2.1656208
63,-0.32022434
64,8.044222
65,8.74081
66,-0.36853433
67,8.117861
68,9.308116
69,-1.9042485
70,-10.935618
71,-10.901434
72,-3.177034
73,8.942626
74,8.247915
75,-9.100134
76,-2.505576
77,-3.7738118
78,-1.5727497
79,8.712258
80,-1.5909277
81,-9.653437
82,3.672872
83,10.871296
84,-7.158635
85,2.0637312
86,-2.6387284
87,-3.5417743
88,-4.655786
89,-5.4023223
90,-4.443923
91,-1.8192995
92,-3.98282
93,8.864302
94,10.088958
95,-4.556396
96,0.4051626
97,-5.1679826
98,-5.374391
99,8.631144
100,-5.3497047
101,3.8294706
102,4.727478
103,3.6185346
104,3.1177473
105,3.5826123
106,3.907907
107,5.066844
108,3.5093699
109,4.1654897
110,5.2745047
111,4.643812
112,2.8804793
113,3.3536472
114,3.5002232
115,4.453581
116,4.20229
117,4.228523
118,4.5637302
119,4.7772474
120,5.1546035
121,4.580414
122,0.5115198
123,0.58279616
124,-0.4237774
125,-0.29958475
126,-4.8154473
127,-4.528681
128,7.484028
129,0.14560679
130,-0.8869385
131,-0.5339348
132,1.0590197
133,-1.2558138
134,1.0169345
135,1.179318
136,1.2744248
137,-1.2594117
138,-1.445847
139,-1.255044
140,0.8625138
141,0.8180497
142,-7.221065
143,1.0611409
144,8.025386
145,0.36091813
146,0.57875174
147,0.3069263
148,-2.0041435
149,-3.7530346
150,0.7452615
151,1.2540027
152,7.3736577
153,0.78248847
154,0.8455789
155,2.0963542
156,2.317297
157,3.0747774
158,3.007656
159,4.2496753
160,3.9642394
161,3.2726367
162,3.4296641
163,4.019085
164,2.564775
165,3.2617376
166,1.8198289
167,5.4246473
168,5.422065
169,2.5136948
170,3.1369064
171,2.5687673
172,5.26232
173,5.0498414
174,5.644413
175,5.296267
176,3.3386598
177,6.5237722
178,8.952113
179,-4.9297214
180,-4.291036
181,-4.642214
182,-1.0143675
183,-4.420944
184,0.71964705
185,1.7320987
186,8.283629
187,-7.8177257
188,9.419723
189,-9.608812
190,6.285401
191,6.340029
192,-7.887986
193,3.0034711
194,-8.806908
195,-3.0378766
196,6.1847878
197,-8.11129
198,4.533089
199,4.218029
200,3.9470236
201,-3.0989776
202,-2.126011
203,9.783818
