,0,1,2
0,-9.935372,-15.145395,0.98236096
1,-14.290208,-11.935886,-2.012466
2,-6.050461,-11.82267,-2.0647612
3,-9.585142,-14.175518,-0.73876184
4,-6.0077863,-10.379664,-2.7440302
5,-15.160517,-9.249118,-1.2654333
6,-17.718172,-10.476648,-0.95026344
7,-9.439993,-11.758832,-2.319419
8,-4.088072,-10.873304,-4.153798
9,-10.041729,-10.550924,-2.3018773
10,0.34789446,-8.508818,0.4607312
11,-8.915464,-9.303257,6.530105
12,-5.672293,-6.8953557,3.2076814
13,-2.644782,-9.868957,-3.7711089
14,1.3842711,-4.4140887,-0.43070096
15,-0.36241144,-4.459653,0.13653748
16,0.10587736,-2.1778452,-0.078282595
17,2.547039,-5.759704,-1.8187426
18,-3.9050748,-7.1662636,0.22288178
19,-2.4044306,-2.3398726,5.6171246
20,0.33353078,0.4070698,4.674665
21,0.6851561,-3.8534951,5.4854307
22,-1.491457,0.3288912,4.3302646
23,-6.132095,-0.5462043,-4.86151
24,0.096633196,-4.246823,2.575949
25,1.4299697,-5.290589,-1.9887804
26,1.9040513,-6.463672,-1.1594555
27,-0.740191,-2.2932222,2.8530204
28,-6.330339,-1.6816791,-5.553334
29,1.9218208,-8.064701,-0.10966768
30,4.820993,-4.438315,-0.82196563
31,2.702019,-4.5816774,1.1941575
32,-1.7717811,-3.8894026,-2.0991528
33,-2.1381018,-1.758275,-3.2150342
34,0.8048766,-7.207123,-2.4370334
35,-1.0675594,-7.3244276,-2.0607584
36,-0.13986212,-3.854533,-1.1366185
37,-7.757483,-9.830078,-2.4845335
38,-10.414486,-12.792741,-3.605522
39,-9.029067,-9.260997,-3.302658
40,-10.446603,-15.937487,7.0692625
41,-3.6334798,-9.667393,0.39538205
42,-1.764557,-8.345011,-2.2868354
43,-6.0268354,-11.137221,-3.2457104
44,-3.9609256,-8.305332,-3.0716112
45,-5.2446394,-8.2993765,-2.6552258
46,-4.7932763,-10.404087,-3.4120615
47,-10.438771,-15.18094,-1.4749324
48,-2.0435052,-4.6015973,-0.9840912
49,-1.9510607,-7.1056466,-3.9141107
50,0.08268081,-8.543472,-3.3398244
51,2.994618,-4.9384866,-0.45415235
52,-0.4672248,-4.926979,-1.6516746
53,1.4471836,-3.1584246,-1.4018449
54,6.843169,-1.9601909,-1.4594076
55,-22.057499,-6.977317,1.7203504
56,-20.26182,-7.1712847,1.8155987
57,-14.5985985,-10.355969,1.5706962
58,-13.798448,-10.443753,1.259194
59,-19.824053,-6.9559007,1.09664
60,-14.881613,-13.472047,2.0192926
61,-8.797269,-12.364527,-0.24566899
62,-9.411191,-12.829172,1.1630174
63,-7.202735,-9.722618,-0.9331787
64,-9.343401,-14.594038,6.0345645
65,-8.561873,-14.198587,5.5507035
66,-7.820118,-12.637277,7.1705523
67,-6.482291,-8.387664,6.100513
68,-6.5869875,-6.8389816,6.053071
69,-6.351526,-12.066522,1.7510415
70,-7.295604,-8.786083,4.186193
71,-9.227221,-10.028515,3.964422
72,-10.003717,-10.804685,-0.23345464
73,-12.620751,3.006095,3.0415986
74,-6.01198,-12.960506,9.629227
75,-3.251467,-0.44542903,5.794312
76,-7.3173203,-0.38316035,4.6275773
77,-9.635369,3.9418302,7.3297844
78,-8.839434,2.9967468,7.7705693
79,-14.669081,3.867174,4.161701
80,-8.23773,-7.8850656,6.028364
81,-9.713122,-9.112933,5.1326265
82,-11.431364,-9.601529,5.1466575
83,-9.876188,-13.482859,2.2139487
84,-12.109425,-12.5253,0.40350962
85,-9.566701,-14.184728,7.198326
86,-14.638978,-9.391641,-1.6259869
87,-14.218519,-8.332115,2.194366
88,-15.024334,-12.279521,0.81699944
89,-16.101587,-12.442949,1.4041785
90,-14.718087,-10.63445,-2.3844519
91,-16.704437,-11.620265,-0.7720182
92,-14.293379,-8.982918,1.3012557
93,-13.635225,-12.41337,-0.30241922
94,-14.158688,-11.483644,-0.8857194
95,-2.6023927,7.0542088,1.420989
96,-2.501698,4.657197,3.4748774
97,-7.897767,0.16584843,1.9515674
98,-6.9889755,2.7631104,5.0897818
99,-6.7527127,-2.0456982,3.5207655
100,-5.031698,-0.31716266,4.506827
101,-6.381374,-4.6396184,2.6386333
102,-6.03279,-5.394696,3.2034657
103,-9.317724,-9.842749,-0.70922554
104,10.780817,5.0648274,1.7579447
105,5.7575536,-6.6744514,-2.0955298
106,3.9485757,-10.149447,0.61547387
107,3.5378358,8.125928,-1.3728416
108,9.804592,6.2024283,-0.26669753
109,9.595144,12.197653,0.79419124
110,1.3954384,1.749572,-1.7385316
111,-21.726006,-6.301133,0.29886317
112,-19.552225,-5.2584934,-0.6880988
113,2.421328,3.5714936,-1.2576884
114,0.77256227,0.16192241,-0.60443366
115,13.165079,3.1917295,3.655458
116,4.6928945,-2.6385794,-0.77088565
117,14.116759,4.5176134,3.0624962
118,-7.918906,-11.198603,-3.0622292
119,-12.492928,-12.40323,-1.661869
120,-1.8661281,-6.6248174,1.062357
121,-2.845292,-6.271236,0.17584097
122,2.7452826,-2.6972768,-1.2286756
123,4.320628,-2.9344702,-1.989985
124,-3.4387732,-8.498105,-0.16830492
125,-4.770133,-6.2616725,-7.671163
126,5.458172,3.2882824,-3.2180932
127,5.291168,-1.6545565,-2.197185
128,-1.2534347,0.9594513,2.0618708
129,2.3002005,4.7299457,-0.90453005
