,0,1,2
0,10.687858,3.7698803,2.1910062
1,12.106751,3.9582856,-0.2065898
2,6.780549,2.3879428,4.43092
3,9.946958,4.313005,2.7634323
4,6.5882993,2.3297691,4.0580153
5,12.261259,3.82066,-1.6105515
6,12.4673605,1.7183498,-1.5973411
7,8.730231,2.9152734,3.655665
8,5.49726,2.5546556,4.226025
9,8.682243,2.6200092,3.546575
10,3.1552193,-2.1968627,2.6726866
11,7.358891,3.5119054,-1.6201599
12,5.0137663,1.7408708,-1.224351
13,4.864125,1.8116865,4.1819263
14,2.1390343,0.3242326,2.333134
15,2.8969357,0.52199423,1.7604088
16,1.937953,-0.09520594,0.74060446
17,2.2522612,0.2270579,3.3157063
18,5.598335,-0.75885725,1.266137
19,1.2155242,4.417875,-2.1842906
20,-0.34089231,2.63454,-1.6972637
21,1.4537897,3.6826804,0.15197413
22,0.40008467,2.3591092,-2.0993714
23,-1.7602034,5.760543,-2.8778176
24,1.9179379,1.3726319,0.6163324
25,2.4146135,-0.04976711,3.1489346
26,2.433382,0.4290018,3.329562
27,1.7037492,1.9161944,-0.8589157
28,-1.6662554,5.8847356,-3.2927136
29,2.7213256,-1.686332,3.5438437
30,0.60754544,-0.034205925,3.3787243
31,1.3564616,1.2950706,2.372212
32,3.9631793,-0.002742298,1.6703657
33,4.2451344,0.69845027,1.0853987
34,3.1649623,0.6541651,3.722937
35,4.0730996,0.6408134,3.4453337
36,2.8799858,0.12788907,1.8564407
37,7.6229033,2.2099092,3.7257037
38,10.010252,2.4341145,3.0835989
39,8.110019,1.7850457,4.099953
40,9.067732,0.3242906,-0.27332932
41,6.643788,-0.12263113,1.1480242
42,4.461046,1.0082648,3.6659007
43,6.5359774,2.373312,4.120849
44,5.646936,0.99022007,4.080524
45,6.3025627,1.0154413,3.940355
46,5.950704,2.3028462,4.1606455
47,10.183274,4.8619456,2.9960058
48,3.8076677,-0.4706303,1.6471692
49,4.826539,0.028509889,4.109088
50,3.8165302,0.9276931,4.4619427
51,1.5913348,0.4817987,2.9793565
52,3.1959774,0.10348734,2.1230628
53,1.8283116,-0.21997236,2.0812957
54,-0.9455681,-0.53507733,3.098922
55,13.65088,3.9381664,-5.536683
56,13.13286,3.8381224,-5.1973047
57,10.793392,3.026416,-1.2154561
58,10.788184,3.1064339,-1.147471
59,13.040263,3.6979609,-5.1978827
60,11.204719,2.000769,0.19427994
61,8.807539,4.0133224,2.3004255
62,8.990283,3.5316904,1.7133207
63,7.334923,2.608011,3.0393202
64,8.891032,1.2583727,-0.028660776
65,8.866233,1.454649,0.10303564
66,7.573726,2.0581956,-0.55144
67,5.724906,3.4188297,-0.9535019
68,5.4389815,4.1050496,-1.519002
69,6.9570603,4.572794,1.7703023
70,6.444871,4.449737,-0.13916469
71,7.4939666,4.702404,-0.051219836
72,8.460155,3.424993,2.514083
73,5.5911736,5.758667,-6.229673
74,7.181865,6.0550537,-4.932751
75,2.009097,2.5380123,-2.507155
76,4.044619,2.3966782,-4.7427545
77,3.2584214,5.0483623,-6.3008404
78,3.192117,4.6495814,-5.8092895
79,5.872177,5.777019,-7.52571
80,6.5462127,3.9669378,-1.6673249
81,7.4977627,4.776215,-0.66676944
82,8.402936,4.352343,-1.3842214
83,9.256025,3.6729913,1.1460395
84,10.42375,3.927076,0.7905908
85,8.943241,1.3055891,-0.564213
86,12.290299,3.90891,-1.5097322
87,10.44789,3.3469281,-2.3724575
88,11.577639,2.6991465,-0.22150013
89,11.70055,2.2688708,-0.21293554
90,12.382028,4.0188947,-0.84425056
91,12.612467,2.3625238,-0.9874868
92,10.650016,2.9847126,-1.9790666
93,11.485961,3.69175,0.19757304
94,11.872248,3.7786033,-0.17456864
95,-1.8250872,0.85687435,-4.943384
96,-0.45311034,1.0134834,-4.569652
97,3.9824984,0.83151865,-4.753683
98,2.3423822,2.121478,-6.03163
99,4.343294,1.5891746,-3.8557947
100,2.3436115,2.1345117,-3.4159422
101,4.8566847,1.2459323,-2.2924976
102,5.0020447,1.4674006,-2.0283902
103,8.464811,2.9501736,2.625498
104,-1.6259984,-4.326419,2.1988912
105,-0.6227639,-4.0825872,1.5620548
106,0.7440202,-2.8344204,2.6374307
107,-3.0346487,-1.6981068,-2.8164296
108,-3.0618038,-4.495129,2.045072
109,-2.7086499,-6.79238,0.62283814
110,0.16432887,-1.5928552,0.12753478
111,13.498526,3.4023619,-5.489132
112,12.969551,2.488829,-5.272673
113,-1.7054814,-0.92402273,-1.5465375
114,0.69607025,-0.4713889,0.14580905
115,0.039707556,-2.9696615,3.1213324
116,0.14929248,-0.47120333,2.647135
117,-1.1851037,-3.2225943,3.801646
118,7.6508036,2.6399837,3.864142
119,11.53058,4.033484,0.80030304
120,4.019447,-1.7670125,1.7318157
121,4.7726912,-1.0906725,1.4449763
122,1.3581079,-0.38312083,2.318534
123,0.3460032,-0.67506844,2.7407854
124,6.0392227,-0.35951474,1.3253368
125,2.7697046,-3.379098,-1.637724
126,-2.7064042,-0.30532876,-0.6917212
127,-0.45586878,-0.6522732,2.5957825
128,-0.010363918,1.5804296,-1.8484279
129,-1.9494541,-0.77177465,-2.1621768
130,-2.5691116,-0.11656831,-1.0160702
131,25.58248,-3.8728254,-52.644123
132,4.524493,0.3563933,-1.4645789
133,-7.8041863,-4.227305,6.229516
134,-8.199965,-4.1078672,6.048398
135,2.5423114,-2.3435278,1.482478
136,-10.077968,-7.6622896,3.0794003
137,-1.6486018,-3.1140294,3.6977978
138,-1.8025912,-3.3657744,4.1653056
139,0.6161353,-0.529797,0.641108
140,-1.6891495,-1.686009,3.2362404
141,-3.1636586,-1.6812521,2.6896071
142,-1.3924048,0.5346278,0.039944082
143,-2.167887,6.6231575,-1.4380058
144,3.4090636,-0.8976879,3.3271246
145,-0.8861966,0.40921286,0.9826897
146,-2.6706724,-0.8061833,2.9706373
147,-5.650374,-1.4386159,2.33795
148,10.989911,1.5132755,-3.6682043
149,11.686894,2.7751021,-4.595246
150,4.2186146,-0.28349194,4.1432266
151,1.4942558,-0.17340587,2.6503847
152,3.4243255,-1.6843383,2.4042423
153,-1.8526058,5.8130083,-2.6526804
154,-0.8292955,1.4957687,0.06660594
155,-1.3857015,-0.553224,2.4637525
156,-1.6372738,1.162221,-0.86402893
157,3.8386195,1.1587986,4.885272
158,-2.0255299,5.0785074,-1.8928063
159,2.005202,0.42019722,-2.274631
160,-1.729346,-0.9283419,2.9393117
161,0.84829015,2.0892575,-1.6382108
162,-0.43005943,2.5802817,1.6722486
163,2.2933896,4.092049,2.5864162
164,0.38243857,2.3824313,2.4065466
