,0,1
0,-2.4127433,-32.59269
1,2.2333407,-35.202328
2,-5.107196,-23.601023
3,-2.8983243,-31.277187
4,-5.6261826,-24.40407
5,3.9487755,-36.44096
6,6.7462096,-35.889324
7,-1.1186916,-31.095673
8,-7.2771297,-23.72463
9,-0.43063474,-31.134392
10,-5.99341,-11.938058
11,4.1237116,-22.369755
12,5.3462515,-19.044964
13,-9.47259,-13.533214
14,-7.1127715,-7.0661197
15,-5.6626673,-7.832602
16,-5.32036,-6.215038
17,-8.548265,-7.5788736
18,-4.6969633,-14.8339405
19,7.367666,-4.3134975
20,5.365807,-0.23291641
21,4.155795,-4.0633726
22,6.9891644,-0.8943163
23,4.7258997,-10.0465355
24,-1.7097942,-5.869668
25,-7.81747,-7.967968
26,-8.567017,-8.204726
27,3.863167,-2.4798043
28,5.1360717,-10.6202
29,-6.9164643,-11.824207
30,-9.318456,-5.3681912
31,-4.959993,-4.487843
32,-4.5208306,-8.847902
33,-1.0165813,-8.807307
34,-9.344642,-9.12392
35,-8.930901,-10.344035
36,-6.093997,-7.641236
37,-4.709563,-25.614758
38,0.9792024,-31.138605
39,-5.3790584,-26.33028
40,5.889946,-30.203547
41,6.84057,-27.449932
42,-9.651699,-10.760212
43,-5.581745,-24.1238
44,-10.244198,-12.292015
45,-5.500093,-21.628428
46,-6.504223,-23.921019
47,-4.0439596,-31.543474
48,-4.961069,-9.408459
49,-9.025599,-12.144597
50,-10.6525,-10.503686
51,-8.386457,-6.519175
52,-6.1727815,-8.435273
53,-6.6971784,-6.18802
54,-10.139121,-3.4912663
55,16.954374,-36.692772
56,16.050467,-35.562744
57,6.745876,-33.01958
58,6.5826654,-33.02889
59,15.724527,-35.57744
60,4.2793183,-32.639668
61,-1.6566335,-28.93659
62,-0.53297824,-29.042921
63,-3.2525754,-24.914478
64,4.7440085,-28.5869
65,4.242175,-28.345846
66,5.5444527,-25.79081
67,5.6524453,-20.874392
68,6.958058,-20.26539
69,-1.0768476,-25.187998
70,1.4997921,-23.485567
71,0.7406034,-23.920002
72,-1.2859812,-27.768934
73,8.6740055,-13.758739
74,7.0753064,-16.754114
75,10.075841,-3.071821
76,14.778643,-14.301744
77,10.300488,-10.467304
78,11.5063305,-10.48653
79,6.984205,-14.155124
80,4.383469,-21.040794
81,1.791963,-22.564972
82,3.2656093,-23.166273
83,-0.1146216,-29.579397
84,0.24386056,-32.47882
85,5.4464803,-28.394812
86,3.6927888,-36.45857
87,8.885917,-32.29383
88,4.287675,-33.812195
89,4.9028163,-33.8077
90,2.8719673,-35.997597
91,5.5441637,-35.718914
92,8.036503,-32.785515
93,2.082292,-33.954525
94,2.6136658,-34.65812
95,7.934296,8.739033
96,8.9260645,6.5464606
97,15.940722,-15.508196
98,17.14989,-11.715151
99,14.102175,-16.225325
100,9.638848,-2.495797
101,11.752155,-17.482801
102,11.1131115,-17.686052
103,-0.48216847,-27.949553
104,-14.481831,25.925688
105,-10.783407,3.6497376
106,-7.575509,0.2243699
107,2.578853,15.392014
108,-10.721974,26.719622
109,-13.848778,23.528555
110,-5.3253875,1.5895641
111,15.930806,-36.95275
