	1	2	3	4	5	6	7	8	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
1	0	0	86	1	86	1188	844	123	2533	331	477	391	175	113	50	291	47	0	138	1146	0	138	0	0	0	1075	265	266	668	1	109	184	845	62	0	0	724	93
2	0	0	0	0	2542	1767	273	148	2777	437	677	477	186	95	55	362	69	0	126	1289	0	16	0	0	0	272	242	68	192	0	28	50	172	9	0	0	260	10
3	3	0	89	0	1004	518	271	36	133	60	51	82	11	1	2	13	2	0	3	61	0	0	0	0	0	10	16	13	9	1	2	3	12	0	0	0	14	2
4	1	0	0	0	149	9032	7924	1587	3423	781	2179	1458	160	76	91	279	20	0	79	1191	0	18	0	0	0	1267	419	416	1258	35	194	374	1317	49	0	0	974	39
5	3	2626	921	0	9	5635	473	775	1113	290	553	517	63	30	7	62	3	57	20	492	0	41	0	0	0	234	99	41	230	124	45	67	257	9	7	0	104	4
6	1100	1855	518	9032	4179	22	48	491	1936	579	1532	1376	88	58	55	194	19	160	71	1257	0	75	0	0	0	279	448	31	51	147	4	14	45	2	14	0	44	2
7	843	273	271	7924	517	0	3	0	97	17	28	19	1	2	1	13	1	72	2	33	0	94	3	0	0	470	4	255	508	329	105	151	455	30	45	0	323	14
8	108	163	36	1587	652	435	5	13	1034	354	927	2600	46	17	20	64	9	48	32	513	0	16	0	0	0	164	120	1		10	2	2	1	0	0	0	2	1
11	0	0	86	1	86	1188	844	123	2533	331	477	391	175	113	50	291	47	0	138	1146	0	138	0	0	0	1075	265	266	668	1	109	184	845	62	0	0	724	93
12	308	460	60	781	317	546	6	380	5877	0	328	308	87	73	25	72	4	85	20	813	0	62	0	0	4	369	220	16	19	66	4	3	10	1	5	0	18	0
13	435	719	51	2179	568	1499	23	977	867	383	7	3921	39	32	24	55	12	196	13	9869	0	101	0	0	3	5366	3549	201	154	255	34	27	86	6	30	0	58	2
14	377	491	82	1458	581	1369	11	2718	552	319	3924	7	44	29	12	57	14	62	12	998	0	30	0	0	0	698	147	16	13	39	2	2	5	0	1	0	5	0
15	165	196	11	160	84	100	1	45	7823	81	39	41	6	1083	83	361	12	130	54	494	0	122	0	0	2	92	31	5	1	37	1	0	0	0	0	0	9	4
16	37	139	5	28	2	42	0	30	771	47	61	32	327	2	150	311	8	436	107	288	0	239	0	0	0	14	19	0	2	62	0	0	1	0	5	0	6	0
17	26	70	1	3	2	57	0	36	177	28	111	36	69	196	2	215	34	372	141	622	0	273	0	0	0	19	19	2	5	47	0	0	1	1	0	3	15	4
18	108	563	18	68	17	146	1	91	403	64	170	77	125	247	152	0	146	1166	412	2167	0	1184	0	0	1	40	39	3	2	206	0	1	6	0	0	8	12	3
19	12	78	2	9	1	15	2	5	20	4	193	16	8	5	25	85	0	844	7	226	0	70	0	0	0	3	8	0	3	9	0	1	1	0	0	2	8	4
20	0	0	0	0	64	156	67	49	1086	88	197	61	148	239	213	731	360	0	69	282	0	0	0	0	4	2	40	0	1	0	0	0		0	0	2	2	4
21	126	138	3	79	38	89	0	51	364	19	19	20	83	166	424	1978	7	72	2	5527	0	549	0	1	4	11	9	1	2	26	1	3	8	0	0	23	22	16
22	1073	1090	61	1191	504	1378	21	495	5281	865	9819	1075	482	774	1674	11809	579	282	4113	2	0	4965	6	10	70	52	48	8	36	346	2	3	36	5	0	338	135	56
23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2190	2190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	137	17	0	18	34	73	97	15	731	57	101	37	107	213	195	813	45	1	557	4975	2306	2190	78	133	841	60	54	55	306	198	20	12	11	1	0	643	695	412
25	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	8	0	77	3	0	0	55	0	42	34	48	15	21	55	4	23	0	59	2
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	128	0	1	0	91	0	202	62	89	43	20	63	6	23	0	104	37
27	0	0	0	0	0	0	0	0	14	2	7	0	2	0	0	4	0	4	2	60	0	798	0	0	0	2995	1	1471	3116	911	573	915	3282	175	155	0	2701	217
